,calories,time,link,name,description,query,ingredients,macros
224,371 ккал,2 ч,https://1000.menu/cooking/63341-kofeinyi-tort,Кофейный торт,Красивый шоколадный бисквит на праздничный стол!,торт,"['Сахар - 350 гр', 'Пшеничная мука - 245 гр', 'Кофе - 240 гр', 'Молоко - 250 мл', 'Растительное масло - 120 мл', 'Какао - 75 гр', 'Яйца - 2 шт.', 'Ванильный экстракт - 1.5 чайн.л.', 'Сода - 1.5 чайн.л.', 'Соль - 0.5 чайн.л.', 'Сахарная пудра - 230 гр', 'Сливочное масло - 230 гр', 'Темный шоколад - 180 гр', 'Ванильный экстракт - 1 чайн.л.']","['Белки 9%', 'Жиры 29%', 'Углеводы 62%']"
225,294 ккал,1 д,https://1000.menu/cooking/18542-medovik-nazad-v-sssr,Торт медовик классический советский,"Самый любимый, самый вкусный, самый праздничный!",торт,"['Яйца - 3 шт.', 'Мёд - 120 гр', 'Сахар - 200 гр', 'Сливочное масло - 80 гр', 'Пшеничная мука - 600 гр', 'Сода - 1 чайн.л.', 'Сметана - 900 гр', 'Сахарная пудра - 200 гр']","['Белки 9%', 'Жиры 21%', 'Углеводы 71%']"
226,256 ккал,2 ч 30 мин,https://1000.menu/cooking/27000-tort-iz-gotovyx-biskvitnyx-korjei-so-sguschenkoi,Торт из готовых бисквитных коржей со сгущенкой,"Быстро и вкусно, приготовит даже ребенок!",торт,"['Коржи готовые - 400 гр', 'Нектарин - 4 шт.', 'Вишня - 300 гр', 'Грецкие орехи - 1 стак.', 'Сгущенное молоко - 1 банк.', 'Творог - 200 гр', 'Сливочное масло - 70 гр', 'Сметана - 2 стол.л.', 'Ванилин - 1 гр']","['Белки 11%', 'Жиры 21%', 'Углеводы 68%']"
227,253 ккал,5 ч,https://1000.menu/cooking/38581-tort-ejik-iz-biskvita-domashnii,Торт ежик из бисквита домашний,"Красивый, на праздник, оригинальное оформление!",торт,"['Пшеничная мука - 180 гр', 'Какао - 40 гр', 'Сахар - 200 гр', 'Сливочное масло - 80 гр', 'Яйца - 4 шт.', 'Яичные желтки - 4 шт.', 'Соль - 0.25 чайн.л.', 'Вода - 100 мл', 'Сахар - 50 гр', 'Лимонный сок - 2 стол.л.', 'Маскарпоне - 400 гр', 'Вареная сгущенка - 300 гр', 'Яичные белки - 4 шт.', 'Сахар - 200 гр', 'Ванильный сахар - 10 гр', 'Сливочное масло - 200 гр', 'Какао - 2 стол.л.', 'Готовое песочное печенье - 100 гр', 'Яблоки - 10 шт.', 'Мастика - 50 гр']","['Белки 9%', 'Жиры 30%', 'Углеводы 61%']"
228,276 ккал,8 ч,https://1000.menu/cooking/5125-tort-den-i-noch,Торт День и Ночь советский со сметанным кремом,"Воздушный и нежный, украсит любое чаепитие!",торт,"['Яйца - 4 шт.', 'Сахар - 1 стак.', 'Пшеничная мука - 140 гр', 'Соль - 0.3 чайн.л.', 'Яйца - 4 шт.', 'Сахар - 1 стак.', 'Пшеничная мука - 110 гр', 'Какао - 30 гр', 'Соль - 0.3 чайн.л.', 'Сметана - 600 гр', 'Сахар - 1 стак.', 'Ванилин -  по вкусу']","['Белки 11%', 'Жиры 16%', 'Углеводы 73%']"
229,229 ккал,10 ч,https://1000.menu/cooking/39050-tort-s-golubikoi,Торт с голубикой,"Нежнейший, воздушный, с лимонным вкусом и сочными ягодами!",торт,"['Яйца - 4 шт.', 'Сахар - 160 гр', 'Ванилин - 0.33 чайн.л.', 'Лимонный сок - 2 стол.л.', 'Лимонная цедра - 2 чайн.л.', 'Пшеничная мука - 110 гр', 'Кукурузный крахмал - 30 гр', 'Голубика - 200 гр', 'Лимоны - 2 шт.', 'Сахар - 100 гр', 'Яйца - 2 шт.', 'Сливочное масло - 20 гр', 'Сливки жирные - 300 мл', 'Маскарпоне - 230 гр', 'Сахарная пудра - 50 гр', 'Ванильный сахар - 1 чайн.л.', 'Голубика - 150 гр']","['Белки 10%', 'Жиры 32%', 'Углеводы 59%']"
230,190 ккал,3 ч,https://1000.menu/cooking/42070-tort-chasy-na-novyi-god,Торт Часы на Новый год,"Волшебный, тематический десерт для праздничного стола!",торт,"['Пшеничная мука - 40 гр', 'Какао - 10 гр', 'Сахар - 30 гр', 'Яйца - 1 шт.', 'Разрыхлитель - 4 гр', 'Замороженная вишня - 600 гр', 'Желе - 90 гр', 'Сахар - 60 гр', 'Вода - 100 мл', 'Крахмал - 20 гр', 'Сливки жирные - 150 мл', 'Вода - 60 мл', 'Сахар - 30 гр', 'Желатин - 10 гр', 'Сливки жирные - 350 мл', 'Темный шоколад - 50 гр']","['Белки 9%', 'Жиры 41%', 'Углеводы 50%']"
231,251 ккал,2 ч,https://1000.menu/cooking/26821-bystryi-tort-napoleon,Быстрый торт Наполеон,Любимый десерт к уютному семейному чаепитию.,торт,"['Пшеничная мука - 400 гр', 'Сливочное масло - 250 гр', 'Вода - 100 мл', 'Пшеничная мука - 2.5 стол.л.', 'Молоко - 1 л', 'Сахар - 300 гр', 'Яйца - 2 шт.', 'Ванильный сахар - 2 стол.л.']","['Белки 9%', 'Жиры 26%', 'Углеводы 65%']"
232,325 ккал,6 ч,https://1000.menu/cooking/37961-tort-ptichka,Торт Птичка,Нежный торт-суфле для вкусного чаепития!,торт,"['Яйца - 2 шт.', 'Сахар - 120 гр', 'Пшеничная мука - 120 гр', 'Молоко - 80 гр', 'Сливочное масло - 40 гр', 'Сода - 1 гр', 'Ванилин - 1 гр', 'Желатин - 15 гр', 'Сахар - 300 гр', 'Яичные белки - 4 шт.', 'Сливочное масло - 200 гр', 'Сгущенное молоко - 150 гр', 'Ванилин - 1 гр', 'Молоко - 100 гр', 'Вода - 170 мл', 'Шоколад - 100 гр', 'Сливки жирные - 80 гр', 'Сливочное масло - 20 гр']","['Белки 8%', 'Жиры 30%', 'Углеводы 62%']"
233,276 ккал,5 ч 30 мин,https://1000.menu/cooking/17202-morkovnyi-tort-klassicheskii,Морковный торт классический со сметанным кремом,"Невероятно вкусный, красивый - нравится взрослым и детям!",торт,"['Морковь - 500 гр', 'Апельсины - 1 шт.', 'Коричневый сахар - 200 гр', 'Пшеничная мука - 320 гр', 'Разрыхлитель - 1 чайн.л.', 'Сода - 1 чайн.л.', 'Корица - 1 стол.л.', 'Растительное масло - 150 гр', 'Яйца - 3 шт.', 'Грецкие орехи - 150 гр', 'Сметана - 500 гр', 'Сахарная пудра - 100 гр', 'Мёд - 50 гр', 'Сливочное масло - 5 гр', 'Пшеничная мука - 10 гр']","['Белки 10%', 'Жиры 33%', 'Углеводы 57%']"
234,226 ккал,5 ч,https://1000.menu/cooking/15502-tort-iz-profitrolei-krokembush,Торт из профитролей Крокембуш,Такой феерично красивый! Все гости будут в восторге!,торт,"['Молоко - 250 гр', 'Вода - 250 мл', 'Сливочное масло - 200 гр', 'Яйца - 8 шт.', 'Пшеничная мука - 300 гр', 'Соль - 0.25 чайн.л.', 'Молоко - 700 мл', 'Сливочное масло - 70 гр', 'Яйца - 3 шт.', 'Пшеничная мука - 70 гр', 'Сахар - 160 гр', 'Ванильный сахар - 1 чайн.л.', 'Вода - 80 мл', 'Сахар - 400 гр']","['Белки 12%', 'Жиры 26%', 'Углеводы 63%']"
235,238 ккал,6 ч,https://1000.menu/cooking/27432-makovyi-tort-so-smetanoi,Маковый торт,"Оригинальный, нежный, очень вкусный, на праздничный стол!",торт,"['Пшеничная мука - 150 гр', 'Сахар - 120 гр', 'Сливочное масло - 80 гр', 'Мак пищевой - 100 гр', 'Яйца - 6 шт.', 'Молоко - 750 мл', 'Сахар - 150 гр', 'Яичные желтки - 2 шт.', 'Пшеничная мука - 3 стол.л.', 'Кукурузный крахмал - 2 стол.л.', 'Ванильный сахар - 1 стол.л.', 'Молоко - 60 мл', 'Горький шоколад - 50 гр', 'Какао - 2 стол.л.', 'Сахар - 1 стол.л.']","['Белки 13%', 'Жиры 24%', 'Углеводы 62%']"
236,305 ккал,2 ч 30 мин,https://1000.menu/cooking/16894-medovyi-tort-so-smetannym-kremom-klassicheskii,Медовый торт со сметанным кремом классический,"Простой, из обычных продуктов, наивкуснейший!",торт,"['Мёд - 100 гр', 'Сахар - 200 гр', 'Яйца - 2 шт.', 'Сливочное масло - 50 гр', 'Пшеничная мука - 400 гр', 'Вода - 20 мл', 'Сода - 1 чайн.л.', 'Сметана - 700 гр', 'Сахар - 1 стак.', 'Ванильный сахар - 10 гр']","['Белки 8%', 'Жиры 19%', 'Углеводы 73%']"
237,228 ккал,6 ч,https://1000.menu/cooking/16620-tort-princessa-sofiya,Торт Принцесса София шоколадный бисквит,"Яркий, красивый, самый лучший для маленькой именинницы!",торт,"['Коржи бисквитные - 6 гр', 'Крем сливочный - 900 гр', 'Крем заварной - 800 гр', 'Темный шоколад - 50 гр', 'Кондитерская посыпка - 10 гр', 'Пищевой краситель - 10 гр']","['Белки 10%', 'Жиры 38%', 'Углеводы 53%']"
238,283 ккал,12 ч,https://1000.menu/cooking/32825-tort-napoleon-s-kremom-plombir,Торт Наполеон с кремом Пломбир,Для достойного завершения любого праздника!,торт,"['Пшеничная мука - 450 гр', 'Сливочное масло - 200 гр', 'Вода - 100 мл', 'Куриные яйца - 1 шт.', 'Столовый уксус - 1 чайн.л.', 'Соль - 1 гр', 'Молоко - 550 мл', 'Сливки - 200 мл', 'Сахар - 150 гр', 'Кукурузный крахмал - 50 гр', 'Яичные желтки - 3 шт.', 'Ванильный сахар - 1 чайн.л.']","['Белки 10%', 'Жиры 29%', 'Углеводы 61%']"
239,221 ккал,1 д,https://1000.menu/cooking/13397-biskvitniy-tort-s-zavarnym-kremom,Бисквитный торт с заварным кремом,"Легкий, нежный, воздушный, тающий во рту!",торт,"['Яйца - 4 шт.', 'Сахар - 160 гр', 'Вода - 4 стол.л.', 'Разрыхлитель - 0.5 чайн.л.', 'Пшеничная мука - 180 гр', 'Сок - 60 мл', 'Яйца - 2 шт.', 'Сахар - 150 гр', 'Молоко - 600 мл', 'Сливочное масло - 120 гр', 'Пшеничная мука - 60 гр', 'Ванильный сахар - 1 стол.л.']","['Белки 11%', 'Жиры 20%', 'Углеводы 68%']"
240,317 ккал,1 д 5 ч,https://1000.menu/cooking/39415-tort-baunti-kokosovyi-shokoladnyi-biskvit,Торт Баунти кокосовый шоколадный бисквит,"Настоящее лакомство для всей семьи! Вкуснее, чем в магазине!",торт,"['Яйца - 4 шт.', 'Сахар - 100 гр', 'Пшеничная мука - 100 гр', 'Какао - 20 гр', 'Соль - 0.3 чайн.л.', 'Ванилин - 0.5 чайн.л.', 'Кокосовая стружка - 150 гр', 'Молоко - 1 стак.', 'Сливочное масло - 100 гр', 'Сахар - 100 гр', 'Темный шоколад - 120 гр', 'Молоко - 70 мл', 'Сливки - 130 мл']","['Белки 13%', 'Жиры 38%', 'Углеводы 50%']"
241,315 ккал,10 ч,https://1000.menu/cooking/43665-tort-ptiche-moloko-s-mankoi,Торт Птичье молоко с манкой,"Классический, вкусный, советского времени!",торт,"['Яйца - 3 шт.', 'Сахар - 180 гр', 'Сливочное масло - 130 гр', 'Пшеничная мука - 130 гр', 'Какао - 2 стол.л.', 'Разрыхлитель - 2 чайн.л.', 'Манка - 65 гр', 'Молоко - 500 мл', 'Сливочное масло - 300 гр', 'Сахарная пудра - 180 гр', 'Лимоны - 2 шт.', 'Ванилин -  по вкусу', 'Сахар - 5 стол.л.', 'Сметана - 3 стол.л.', 'Какао - 2 стол.л.', 'Сливочное масло - 1 стол.л.']","['Белки 7%', 'Жиры 37%', 'Углеводы 56%']"
242,252 ккал,8 ч,https://1000.menu/cooking/25608-tort-karpatka-zavarnoi,Торт Карпатка из заварного теста,"Невероятно нежный, со вкусом пломбира. Сделайте жизнь слаще!",торт,"['Пшеничная мука - 150 гр', 'Молоко - 100 мл', 'Вода - 100 мл', 'Сливочное масло - 80 гр', 'Куриные яйца - 4 шт.', 'Соль - 0.5 чайн.л.', 'Молоко - 600 мл', 'Сливочное масло - 200 гр', 'Сахар - 150 гр', 'Кукурузный крахмал - 60 гр', 'Куриные яйца - 2 шт.', 'Ванильный сахар - 1 стол.л.', 'Сахарная пудра - 5 гр']","['Белки 10%', 'Жиры 40%', 'Углеводы 50%']"
243,275 ккал,4 ч,https://1000.menu/cooking/80915-shokoladnyi-tort-s-kremom-chiz,Шоколадный торт с кремом чиз,Шикарный и вкусный десерт своими руками. Невозможно устоять!,торт,"['Пшеничная мука - 210 гр', 'Сахар - 200 гр', 'Молоко - 150 мл', 'Сливочное масло - 75 гр', 'Какао - 25 гр', 'Куриные яйца - 4 шт.', 'Разрыхлитель - 1 чайн.л.', 'Ликёр - 100 мл', 'Сливки - 450 мл', 'Творожный сыр - 400 гр', 'Сахарная пудра - 100 гр', 'Вишня - 350 гр', 'Сахар - 100 гр', 'Кукурузный крахмал - 2 стол.л.', 'Горький шоколад - 100 гр', 'Сливки - 60 мл']","['Белки 9%', 'Жиры 24%', 'Углеводы 67%']"
244,397 ккал,3 ч,https://1000.menu/cooking/15329-tort-snikers,Торт Сникерс с арахисом классический,"Восхитительно вкусный, для истинных сладкоежек!",торт,"['Яйца - 1 шт.', 'Сахар - 60 гр', 'Сметана - 110 гр', 'Какао - 15 гр', 'Пшеничная мука - 100 гр', 'Разрыхлитель - 1 чайн.л.', 'Сливочное масло - 20 гр', 'Сахар - 150 гр', 'Сливочное масло - 200 гр', 'Молоко - 300 мл', 'Кукурузный крахмал - 2 стол.л.', 'Ванильный сахар - 1 чайн.л.', 'Сливочное масло - 100 гр', 'Вареная сгущенка - 150 гр', 'Арахис - 150 гр', 'Какао - 1 чайн.л.', 'Арахис - 100 гр']","['Белки 11%', 'Жиры 44%', 'Углеводы 44%']"
245,364 ккал,8 ч,https://1000.menu/cooking/38679-tvorojnyi-tort-bez-vypechki,Творожный торт без выпечки,"Необыкновенно вкусный, сливочный, легкий, оригинальный!",торт,"['Готовое песочное печенье - 200 гр', 'Сливочное масло - 150 гр', 'Творог - 400 гр', 'Сметана - 400 гр', 'Сахар - 200 гр', 'Горький шоколад - 100 гр', 'Сливки - 75 мл', 'Желатин - 30 гр']","['Белки 15%', 'Жиры 39%', 'Углеводы 46%']"
246,239 ккал,13 ч,https://1000.menu/cooking/41328-tort-napoleon-tvorojnyi,Торт Наполеон творожный,Торт на все времена в новом исполнении: на творожном тесте.,торт,"['Пшеничная мука - 500 гр', 'Творог - 400 гр', 'Сахар - 200 гр', 'Сливочное масло - 100 гр', 'Яйца - 2 шт.', 'Разрыхлитель - 10 гр', 'Ванильный сахар - 1 стол.л.', 'Молоко - 1.5 л', 'Сливочное масло - 300 гр', 'Сахар - 240 гр', 'Яйца - 6 шт.', 'Пшеничная мука - 5 стол.л.', 'Крахмал - 3 стол.л.', 'Ванильный сахар - 1 стол.л.']","['Белки 14%', 'Жиры 28%', 'Углеводы 58%']"
247,323 ккал,10 ч,https://1000.menu/cooking/35941-tort-iz-pechenya-i-tvoroga-bez-vypechki,Торт из печенья и творога без выпечки,Очень вкусный и на удивление простой! Получится у всех!,торт,"['Печенье - 300 гр', 'Творог - 200 гр', 'Сливки жирные - 200 гр', 'Сахарная пудра - 3 стол.л.', 'Молоко - 1 стак.', 'Шоколад - 100 гр']","['Белки 12%', 'Жиры 32%', 'Углеводы 56%']"
248,213 ккал,3 ч 30 мин,https://1000.menu/cooking/6031-tort-iz-pryanikov-s-bananami-i-smetanoi,Торт из пряников с бананами и сметаной,"Бесподобно вкусно, очень просто, быстро, легко, празднично!",торт,"['Пряники - 300 гр', 'Сметана - 350 гр', 'Бананы - 2 шт.', 'Мята -  по вкусу', 'Ванилин -  по вкусу', 'Сахар - 1 стол.л.', 'Какао - 1 чайн.л.', 'Молоко - 1 стол.л.', 'Сливочное масло - 1 чайн.л.']","['Белки 7%', 'Жиры 18%', 'Углеводы 75%']"
249,443 ккал,8 ч,https://1000.menu/cooking/36396-tort-iz-vafelnyx-korjei-s-varenoi-sguschenkoi,Торт из вафельных коржей с вареной сгущенкой,"Быстрый, простой, на скорую руку, приготовит даже ребенок!",торт,"['Коржи вафельные - 90 гр', 'Вареная сгущенка - 600 гр', 'Сливочное масло - 270 гр']","['Белки 8%', 'Жиры 38%', 'Углеводы 54%']"
250,439 ккал,2 ч 30 мин,https://1000.menu/cooking/15132-tort-belochka,Торт Белочка,"Насыщенный, мега ореховый вкус, для самого теплого чаепития.",торт,"['Куриные яйца - 3 шт.', 'Грецкие орехи - 1.5 стак.', 'Сахар - 1 стак.', 'Пшеничная мука - 2 стак.', 'Сливочное масло - 200 гр', 'Сметана - 70 гр', 'Разрыхлитель - 1 чайн.л.', 'Соль -  по вкусу', 'Вареная сгущенка - 400 гр', 'Сливочное масло - 200 гр', 'Сметана - 2 стол.л.']","['Белки 8%', 'Жиры 41%', 'Углеводы 51%']"
251,337 ккал,12 ч,https://1000.menu/cooking/36153-tort-trufel-shokoladnyi,Торт Трюфель шоколадный,Истинно божественный вкус! Для настоящих шоколадоголиков!,торт,"['Яйца - 6 шт.', 'Пшеничная мука - 3 стол.л.', 'Какао - 4 стол.л.', 'Сахар - 6 стол.л.', 'Сода - 1 чайн.л.', 'Лимонный сок - 1.5 чайн.л.', 'Сливки жирные - 500 мл', 'Темный шоколад - 300 гр', 'Молочный шоколад - 50 гр', 'Какао - 4 стол.л.', 'Сахар - 3 стол.л.', 'Вода - 4 стол.л.', 'Сливочное масло - 25 гр']","['Белки 13%', 'Жиры 41%', 'Углеводы 46%']"
252,361 ккал,1 ч 45 мин,https://1000.menu/cooking/12525-tort-general,Торт Генерал на кефире,"Сочный торт с воздушными коржами, сочетающий разные вкусы!",торт,"['Яйца - 4 шт.', 'Сливочное масло - 200 гр', 'Сахар - 1.5 стак.', 'Пшеничная мука - 2 стак.', 'Сода - 1 чайн.л.', 'Кефир - 200 мл', 'Изюм - 100 гр', 'Чернослив - 100 гр', 'Грецкие орехи - 100 гр', 'Какао - 1 стол.л.', 'Сливочное масло - 200 гр', 'Сгущенное молоко - 200 мл', 'Сметана - 200 мл']","['Белки 8%', 'Жиры 37%', 'Углеводы 56%']"
253,348 ккал,1 д 8 ч,https://1000.menu/cooking/36558-tort-podarochnyi-biskvitnyi-po-gostu-svoimi-rukami,Торт подарочный бисквитный по госту своими руками,"Необыкновенно вкусный, нежный, воздушный, праздничный!",торт,"['Растительное масло - 0.5 стол.л.', 'Яйца - 4 шт.', 'Сахар - 120 гр', 'Соль - 0.2 чайн.л.', 'Пшеничная мука - 120 гр', 'Сахар - 100 гр', 'Вода - 110 мл', 'Коньяк - 1 стол.л.', 'Яйца - 1 шт.', 'Сахар - 125 гр', 'Коньяк - 1 стол.л.', 'Молоко - 80 мл', 'Сливочное масло - 150 гр', 'Ванильный сахар - 1 стол.л.', 'Арахис - 200 гр', 'Сахарная пудра - 2 стол.л.']","['Белки 13%', 'Жиры 29%', 'Углеводы 58%']"
254,330 ккал,1 д,https://1000.menu/cooking/5175-tort-tvorojnyi-domik-iz-pechenya-i-tvoroga-bez-vypechki,Торт Творожный домик из печенья и творога без выпечки,"Красивый, оригинальный, из простых продуктов!",торт,"['Печенье - 200 гр', 'Творог - 250 гр', 'Сливочное масло - 50 гр', 'Сахар - 100 гр', 'Сметана - 2 стол.л.', 'Какао - 2 стол.л.', 'Ванильный сахар - 10 гр', 'Бананы - 1 шт.', 'Шоколад - 50 гр', 'Кокосовая стружка - 2 стол.л.']","['Белки 13%', 'Жиры 28%', 'Углеводы 58%']"
255,385 ккал,2 ч 40 мин,https://1000.menu/cooking/28979-korolevskii-tort-bez-muki,Королевский торт без муки,Готовь удивительное лакомство! Нереально вкусно!,торт,"['Куриные яйца - 10 шт.', 'Грецкие орехи - 500 гр', 'Коньяк - 20 мл', 'Сливочное масло - 200 гр', 'Сахарная пудра - 400 гр', 'Крахмал - 40 гр', 'Какао - 40 гр', 'Молоко - 100 мл', 'Грецкие орехи - 80 гр', 'Какао - 15 гр', 'Шоколад - 20 гр', 'Меренги - 40 гр']","['Белки 13%', 'Жиры 46%', 'Углеводы 41%']"
256,295 ккал,7 ч,https://1000.menu/cooking/25037-tort-s-ananasom-i-greckim-orexom,Торт с ананасами и грецким орехом,Великолепие вкуса в каждом кусочке! Верх совершенства!,торт,"['Яйца - 4 шт.', 'Соль - 2 гр', 'Сахар - 180 гр', 'Какао - 50 гр', 'Пшеничная мука - 120 гр', 'Разрыхлитель - 3 гр', 'Сметана - 480 гр', 'Сахарная пудра - 120 гр', 'Ананасы - 150 гр', 'Грецкие орехи - 120 гр', 'Сливки жирные - 120 мл', 'Темный шоколад - 100 гр']","['Белки 12%', 'Жиры 33%', 'Углеводы 56%']"
257,346 ккал,2 ч 30 мин,https://1000.menu/cooking/16176-tort-rafaello,Бисквитный Торт Рафаэлло с кокосом и миндалем,Невероятно нежный и вкусный торт для любителей кокоса!,торт,"['Яйца - 4 шт.', 'Сахар - 150 гр', 'Пшеничная мука - 100 гр', 'Сливочное масло - 20 гр', 'Сливочный сыр - 500 гр', 'Сливки жирные - 250 гр', 'Сгущенное молоко - 250 гр', 'Кокосовая стружка - 70 гр', 'Миндаль - 100 гр', 'Сахарный сироп - 100 мл']","['Белки 15%', 'Жиры 43%', 'Углеводы 42%']"
258,225 ккал,10 ч,https://1000.menu/cooking/75189-biskvitnyi-tort-s-kremom-chiz,Бисквитный торт с кремом чиз,"Нежный, потрясающе вкусный, красивый - все будут в восторге!",торт,"['Яйца - 5 шт.', 'Сахар - 165 гр', 'Пшеничная мука - 135 гр', 'Ванилин -  по вкусу', 'Сливки жирные - 350 гр', 'Белый шоколад - 190 гр', 'Творожный сыр - 450 гр', 'Клубника - 500 гр', 'Сахар - 45 гр', 'Кукурузный крахмал - 8 гр', 'Вода - 150 мл', 'Сахар - 20 гр', 'Лимонный сок - 2 стол.л.']","['Белки 13%', 'Жиры 33%', 'Углеводы 54%']"
259,324 ккал,1 д,https://1000.menu/cooking/38572-tort-futbolnyi-myach,Торт Футбольный мяч,Порадуйте своего маленького спортсмена эффектным угощением!,торт,"['Яйца - 4 шт.', 'Сахар - 230 гр', 'Пшеничная мука - 230 гр', 'Сливочное масло - 80 гр', 'Молоко - 160 гр', 'Сода - 1 гр', 'Ваниль - 1 гр', 'Сливки жирные - 400 гр', 'Сахарная пудра - 4 стол.л.', 'Шоколад - 50 гр', 'Сливки - 30 гр', 'Сливки жирные - 200 гр', 'Сахарная пудра - 1 стол.л.']","['Белки 9%', 'Жиры 35%', 'Углеводы 56%']"
260,378 ккал,1 д,https://1000.menu/cooking/49777-tort-ferrero-roshe-v-domashnix-usloviyax,Торт Ферреро Роше в домашних условиях,Торт по мотивам всемирно известных конфет Ферреро Роше.,торт,"['Куриные яйца - 5 шт.', 'Пшеничная мука - 70 гр', 'Сахар - 180 гр', 'Ванильный сахар - 10 гр', 'Какао - 25 гр', 'Кукурузный крахмал - 40 гр', 'Разрыхлитель - 1.5 чайн.л.', 'Кофе - 150 гр', 'Кофейный ликер - 2 стол.л.', 'Сахар - 2 стол.л.', 'Сливки жирные - 250 мл', 'Шоколад - 4 стол.л.', 'Сахарная пудра - 50 гр', 'Фундук - 100 гр', 'Вафли - 50 гр', 'Белый шоколад - 150 гр', 'Сливки - 3 стол.л.', 'Темный шоколад - 150 гр', 'Сливки - 100 мл', 'Конфеты - 9 шт.', 'Фундук - 100 гр', 'Вафли - 50 гр']","['Белки 10%', 'Жиры 35%', 'Углеводы 54%']"
261,263 ккал,3 ч,https://1000.menu/cooking/46235-norvejskii-tort,Норвежский торт,Невероятно вкусный и нежный - просто тает во рту!,торт,"['Пшеничная мука - 150 гр', 'Сливочное масло - 100 гр', 'Сахар - 100 гр', 'Молоко - 75 мл', 'Разрыхлитель - 5 гр', 'Яичные желтки - 4 шт.', 'Молоко - 500 мл', 'Сливки - 300 мл', 'Сахар - 100 гр', 'Кукурузный крахмал - 50 гр', 'Куриные яйца - 2 шт.', 'Ванильный сахар - 1 стол.л.', 'Сахар - 200 гр', 'Миндальные лепестки - 30 гр', 'Кукурузный крахмал - 20 гр', 'Яичные белки - 4 шт.', 'Соль - 1 гр']","['Белки 10%', 'Жиры 23%', 'Углеводы 67%']"
262,349 ккал,2 ч 50 мин,https://1000.menu/cooking/29065-tort-so-sgushchenkoi-biskvitnyi,Торт со сгущенкой бисквитный,"Эффектный, красивый, такой вкусный! Настоящий шедевр!",торт,"['Бананы - 2 шт.', 'Клубника - 150 гр', 'Ягоды - 200 гр', 'Вафли - 300 гр', 'Молочный шоколад - 50 гр', 'Сахарная пудра - 10 гр', 'Сахарный сироп - 50 мл', 'Куриные яйца - 4 шт.', 'Сахар - 250 гр', 'Пшеничная мука - 250 гр', 'Ванилин - 2 гр', 'Ванилин - 2 гр', 'Сгущенное молоко - 1 банк.', 'Сливочное масло - 400 гр', 'Яичные желтки - 2 шт.', 'Вода - 50 мл', 'Сахар - 3 стол.л.', 'Сливочное масло - 30 гр', 'Какао - 4 стол.л.', 'Сливки жирные - 3 стол.л.']","['Белки 8%', 'Жиры 32%', 'Углеводы 61%']"
263,272 ккал,3 ч,https://1000.menu/cooking/35770-tort-pancho-s-greckimi-orexami,Торт Панчо с грецкими орехами,Такой вкусный и многими любый - настоящая гармония вкуса!,торт,"['Пшеничная мука - 200 гр', 'Яйца - 2 шт.', 'Сахар - 170 гр', 'Сметана - 170 гр', 'Сгущенное молоко - 170 гр', 'Какао - 30 гр', 'Разрыхлитель - 8 гр', 'Сахар - 170 гр', 'Сметана - 900 гр', 'Ванильный сахар - 10 гр', 'Шоколад - 50 гр', 'Сливочное масло - 30 гр', 'Грецкие орехи - 100 гр', 'Вишня - 130 гр', 'Нектарин - 2 шт.', 'Сироп - 30 мл']","['Белки 10%', 'Жиры 29%', 'Углеводы 62%']"
264,318 ккал,5 ч,https://1000.menu/cooking/46740-tort-iz-tykvy,Торт из тыквы,"Оригинальный, необычный вкус, из простых продуктов!",торт,"['Пшеничная мука - 1.5 стак.', 'Тыква - 1 стак.', 'Яйца - 2 шт.', 'Сахар - 1 стак.', 'Растительное масло - 4 стол.л.', 'Разрыхлитель - 1 стол.л.', 'Ванилин -  по вкусу', 'Сметана - 2 стак.', 'Сахар - 0.75 стак.']","['Белки 7%', 'Жиры 25%', 'Углеводы 68%']"
265,373 ккал,6 ч,https://1000.menu/cooking/40359-tort-s-marshmellou,Торт с маршмеллоу,"Такой бархатистый, вкусный. Одного кусочка точно будет мало!",торт,"['Печенье - 150 гр', 'Сливочное масло - 35 гр', 'Маршмеллоу - 200 гр', 'Темный шоколад - 180 гр', 'Сливки жирные - 400 гр', 'Горький шоколад - 60 гр', 'Сливки жирные - 100 гр', 'Маршмеллоу - 50 гр', 'Мандарины - 1 шт.']","['Белки 6%', 'Жиры 39%', 'Углеводы 55%']"
266,292 ккал,3 ч,https://1000.menu/cooking/49160-tort-raduga,Торт Радуга,Красивый и эффектный - с ним любой праздник станет ярче!,торт,"['Куриные яйца - 4 шт.', 'Сахар - 150 гр', 'Соль -  по вкусу', 'Пшеничная мука - 100 гр', 'Малина - 0.5 стак.', 'Сметана - 200 гр', 'Творог - 180 гр', 'Сахарная пудра - 60 гр', 'Ванильный сахар - 1 чайн.л.', 'Маскарпоне - 250 гр', 'Сливочное масло - 80 гр', 'Сахарная пудра - 50 гр', 'Вода - 0.75 стак.', 'Варенье - 2 стол.л.', 'Конфеты - 165 гр', 'Маршмеллоу - 40 шт.', 'Кондитерская посыпка - 1 стол.л.', 'Растительное масло - 0.5 чайн.л.']","['Белки 9%', 'Жиры 26%', 'Углеводы 66%']"
